embedding	source	sample	reproductive_state	component_1	component_2
separate_pca	Published	Fe_Rs_SF_1	Rostrum	-26.134423388545077	0.972461759324477
separate_pca	Published	Fe_Rs_SF_2	Rostrum	-25.564507545882865	3.7748852375287436
separate_pca	Published	Fe_Rs_SF_3	Rostrum	-20.497982149880155	3.4378230957291667
separate_pca	Published	Ma_An_1	Antenna	49.65859663600606	33.55892263665015
separate_pca	Published	Ma_An_2	Antenna	48.336066585966265	34.19284198375587
separate_pca	Published	Ma_An_3	Antenna	47.00118406069903	34.109969531737704
separate_pca	Published	Ma_At_1	Abdominal Tip	-32.861702383138294	-12.311390196931267
separate_pca	Published	Ma_At_2	Abdominal Tip	-33.10012280558395	-11.06229634995714
separate_pca	Published	Ma_At_3	Abdominal Tip	-35.5570631602189	-14.539939458636043
separate_pca	Published	Ma_Br_1	Brain	92.91930569696086	69.92602332933932
separate_pca	Published	Ma_Br_2	Brain	94.79801097455066	69.07153388463232
separate_pca	Published	Ma_Br_3	Brain	94.92272211887189	69.2088014867348
separate_pca	Published	Ma_FL_1	Forelegs	-21.827539442180573	-8.302833413187695
separate_pca	Published	Ma_FL_2	Forelegs	-27.095947710122413	-7.758569054091149
separate_pca	Published	Ma_FL_3	Forelegs	-26.188788303793338	-7.084299362308294
separate_pca	Published	Ma_HL_1	Hindlegs	-33.48568064990298	-8.157538051874216
separate_pca	Published	Ma_HL_2	Hindlegs	-31.815672023800087	-7.5506673905740485
separate_pca	Published	Ma_HL_3	Hindlegs	-32.94979446138607	-7.87305605512266
separate_pca	Published	Ma_HL_4	Hindlegs	-32.30371762899266	-4.864137620312499
separate_pca	Published	Ma_HL_5	Hindlegs	-35.84564072394132	-6.750110469226385
separate_pca	Published	Ma_ML_1	Midlegs	-23.554274887296955	-6.797442825256228
separate_pca	Published	Ma_ML_2	Midlegs	-21.255610735393862	-8.719328790321972
separate_pca	Published	Ma_ML_3	Midlegs	-24.880046315091196	-8.152223865911992
separate_pca	Published	Ma_Rs_1	Rostrum	-8.76324080472335	19.757400071660424
separate_pca	Published	Ma_Rs_2	Rostrum	-5.095238989063297	22.4946687439515
separate_pca	Published	Ma_Rs_3	Rostrum	-17.55280432459389	16.705578433032326
separate_pca	Reanalysis	Fe_An_BF_1	Antenna	-4.729276854791823	27.215497764874147
separate_pca	Reanalysis	Fe_An_BF_2	Antenna	10.956373965544056	26.56946084558449
separate_pca	Reanalysis	Fe_An_BF_3	Antenna	10.234788692860963	27.5997346648665
separate_pca	Reanalysis	Fe_An_BF_4	Antenna	-2.632844044566419	25.119440484246056
separate_pca	Reanalysis	Fe_An_O_2	Antenna	1.108569238871606	29.73763984258916
separate_pca	Reanalysis	Fe_An_O_3	Antenna	6.3294265726863514	29.705565964927473
separate_pca	Reanalysis	Fe_An_O_4	Antenna	6.863661125116215	28.329092560821525
separate_pca	Reanalysis	Fe_An_SF_1	Antenna	38.26489093890201	29.614673700779885
separate_pca	Reanalysis	Fe_An_SF_2	Antenna	-3.0547583863584675	25.198600086011037
separate_pca	Reanalysis	Fe_An_SF_3	Antenna	-2.544366855944138	25.254363259296174
separate_pca	Reanalysis	Fe_An_SF_4	Antenna	6.246710129440997	26.6262417410315
separate_pca	Reanalysis	Fe_An_SF_5	Antenna	7.039627957405492	29.193545391185996
separate_pca	Reanalysis	Fe_An_SF_6	Antenna	11.770855235814532	27.96031316853771
separate_pca	Reanalysis	Fe_An_SF_7	Antenna	17.81921884245795	29.128274218245572
separate_pca	Reanalysis	Fe_An_SF_8	Antenna	15.100581523911048	30.33747537878223
separate_pca	Reanalysis	Fe_At_O_1	Abdominal Tip	-6.967843054980471	-27.287837719962518
separate_pca	Reanalysis	Fe_At_O_2	Abdominal Tip	-27.76282700340823	-24.35824115895564
separate_pca	Reanalysis	Fe_At_O_3	Abdominal Tip	-25.32086691536841	-27.91628323235152
separate_pca	Reanalysis	Fe_At_O_4	Abdominal Tip	-15.609803999666642	-31.53174253696898
separate_pca	Reanalysis	Fe_At_O_5	Abdominal Tip	-27.1565890336412	-27.631831182997868
separate_pca	Reanalysis	Fe_At_O_6	Abdominal Tip	-8.974625207714176	-31.843895973762145
separate_pca	Reanalysis	Fe_At_O_7	Abdominal Tip	-38.370151580473454	-22.64570403655692
separate_pca	Reanalysis	Fe_At_SF_1	Abdominal Tip	-54.586643501489554	-24.640079408037554
separate_pca	Reanalysis	Fe_At_SF_2	Abdominal Tip	-49.969810953316795	-24.464867080479404
