sample	pearson_log2_tpm_plus_1	spearman_log2_tpm_plus_1	median_signed_log2_error	median_absolute_log2_error	rmse_log2_tpm_plus_1	error_q10	error_q25	error_q75	error_q90	fraction_abs_error_le_0_5	fraction_abs_error_le_1	reproductive_state	replicate
Fe_Ov_72hBF_1_TPM	0.9948076686429251	0.9710562390389595	0.0	0.03214443337355781	0.31219189512923834	-0.1355217276568853	-0.023130069257501218	0.037127054059520326	0.06524445521217662	0.965978806469604	0.984941438929169	72 hours (3 days) post-blood-meal	1
Fe_Ov_72hBF_2_TPM	0.9944274609992709	0.9704643067805713	0.0	0.024505108992846303	0.32463985393183903	-0.15492824872838262	-0.04829555182379694	0.01568026058827865	0.037504381907378766	0.9615170105967652	0.9854991634132738	72 hours (3 days) post-blood-meal	2
Fe_Ov_72hBF_3_TPM	0.9925648141725489	0.9675071669135731	0.0	0.04664798215434973	0.37371281870562045	-0.1313736674299851	-0.017022041647684283	0.062488278438800116	0.09431805413162131	0.9592861126603458	0.9804796430563302	72 hours (3 days) post-blood-meal	3
Fe_Ov_96hBF_1_TPM	0.9941907527353987	0.9669861840116939	0.0	0.0230658487604245	0.3342688896258339	-0.16034689556689471	-0.05199039869815636	0.012443448407462976	0.035872727518564226	0.9598438371444507	0.9843837144450641	96 hours (4 days) post-blood-meal	1
Fe_Ov_96hBF_2_TPM	0.9953303672371495	0.9709566866025592	0.0	0.019004715184226306	0.2998316465332539	-0.16186401783313922	-0.0471671610585957	0.010254116712161337	0.03135919734020796	0.9637479085331846	0.9854991634132738	96 hours (4 days) post-blood-meal	2
Fe_Ov_96hBF_3_TPM	0.995185618586115	0.969848975586137	0.0	0.02164244906001933	0.30352091777172585	-0.16645919409654647	-0.05160816716029437	0.008781457936264836	0.0332866901707824	0.9654210819854991	0.9877300613496932	96 hours (4 days) post-blood-meal	3
Fe_Ov_6dBF_Retained_1_TPM	0.9946644470122323	0.9696364408060514	0.0	0.022863597693641324	0.3223607825540765	-0.16636980320960093	-0.04923586838850613	0.012830967013765182	0.03331277925565992	0.9648633575013943	0.9866146123814835	6 days post-blood-meal (eggs retained)	1
Fe_Ov_6dBF_Retained_2_TPM	0.9953041692103044	0.9695764632755575	0.0	0.02209480764217986	0.3016955260334986	-0.1583635898424437	-0.047216312516119574	0.013318947232316136	0.03368882403410289	0.9654210819854991	0.9860568878973787	6 days post-blood-meal (eggs retained)	2
Fe_Ov_6dBF_Retained_3_TPM	0.9951693589358888	0.9674316636776635	0.0	0.02369835644588214	0.30658221222153176	-0.1708068890386702	-0.05501926206629282	0.010826096506463934	0.033598331548887105	0.9598438371444507	0.9877300613496932	6 days post-blood-meal (eggs retained)	3
Fe_Ov_6dBF_Laid_1_TPM	0.9886206783943493	0.9624428284072051	0.0	0.043282314756428075	0.4794529930916167	-0.29098405879825645	-0.0881987543790057	0.026664343166909354	0.053897471032505695	0.935861684327942	0.9687674288901282	6 days post-blood-meal (eggs laid <5 hours prior)	1
Fe_Ov_6dBF_Laid_2_TPM	0.9897464077726885	0.9628938022757688	0.0	0.03706513085959884	0.4571015781424516	-0.2625538816134783	-0.08452305462541299	0.01747495461881865	0.044120869671771944	0.9431121026213051	0.9726715002788623	6 days post-blood-meal (eggs laid <5 hours prior)	2
Fe_Ov_6dBF_Laid_3_TPM	0.990029247622257	0.966358825905598	0.0	0.03410647905160591	0.44804232090304974	-0.23080923570699508	-0.08667948278704873	0.013598426013084364	0.03767349696348212	0.9492470719464584	0.9715560513106526	6 days post-blood-meal (eggs laid <5 hours prior)	3
Fe_Ov_13dBF_1_TPM	0.993117451560264	0.964160929736385	0.0	0.03125165616251557	0.3722647625139544	-0.21714376232821944	-0.06792178795893115	0.015887723130772358	0.04138826035580524	0.9486893474623536	0.9754601226993865	13 days post-blood-meal (eggs laid >1 week prior)	1
Fe_Ov_13dBF_2_TPM	0.9922918556603961	0.9627866483032201	0.0	0.028575460652373152	0.39213729655747387	-0.2317260166603141	-0.07313218448198189	0.014429971681295228	0.04056114383172908	0.9492470719464584	0.9782487451199108	13 days post-blood-meal (eggs laid >1 week prior)	2
Fe_Ov_13dBF_3_TPM	0.9932165572446421	0.9656897325525722	0.0	0.0285769739363001	0.3696701981613287	-0.18966753257155747	-0.06492826664419393	0.01282620022013603	0.03890948990495033	0.9531511433351925	0.9760178471834914	13 days post-blood-meal (eggs laid >1 week prior)	3
