embedding	source	sample	reproductive_state	component_1	component_2
procrustes_aligned_separate_pca	Published	Fe_Ov_NBF_1_TPM	Non-blood-fed	-0.05754363079429488	-0.10683050491548496
procrustes_aligned_separate_pca	Published	Fe_Ov_NBF_2_TPM	Non-blood-fed	-0.059266068670366115	-0.103883930817127
procrustes_aligned_separate_pca	Published	Fe_Ov_NBF_3_TPM	Non-blood-fed	-0.058775282117114955	-0.10196148330193172
procrustes_aligned_separate_pca	Published	Fe_Ov_3hBF_1_TPM	3 hours post-blood-meal	-0.08962494998627114	-0.04213169596785025
procrustes_aligned_separate_pca	Published	Fe_Ov_3hBF_2_TPM	3 hours post-blood-meal	-0.09049087715727859	-0.0835806579745055
procrustes_aligned_separate_pca	Published	Fe_Ov_3hBF_3_TPM	3 hours post-blood-meal	-0.08613626014072734	-0.06915995494897058
procrustes_aligned_separate_pca	Published	Fe_Ov_6hBF_1_TPM	6 hours post-blood-meal	-0.10954776964489417	-0.045278618717929264
procrustes_aligned_separate_pca	Published	Fe_Ov_6hBF_2_TPM	6 hours post-blood-meal	-0.11527144111837066	-0.03318564526009338
procrustes_aligned_separate_pca	Published	Fe_Ov_6hBF_3_TPM	6 hours post-blood-meal	-0.1145209258780335	-0.05504176074010891
procrustes_aligned_separate_pca	Published	Fe_Ov_12hBF_1_TPM	12 hours post-blood-meal	-0.13124962882772298	0.03666406585692611
procrustes_aligned_separate_pca	Published	Fe_Ov_12hBF_2_TPM	12 hours post-blood-meal	-0.1315316158254648	0.014968975608956544
procrustes_aligned_separate_pca	Published	Fe_Ov_12hBF_3_TPM	12 hours post-blood-meal	-0.12414394174988226	0.004810602568571381
procrustes_aligned_separate_pca	Published	Fe_Ov_24hBF_1_TPM	24 hours (1 day) post-blood-meal	-0.15593002376290557	0.09793421976602146
procrustes_aligned_separate_pca	Published	Fe_Ov_24hBF_2_TPM	24 hours (1 day) post-blood-meal	-0.15235729249385457	0.09359547753623865
procrustes_aligned_separate_pca	Published	Fe_Ov_24hBF_3_TPM	24 hours (1 day) post-blood-meal	-0.14589599170903728	0.09604510309778691
procrustes_aligned_separate_pca	Published	Fe_Ov_48hBF_1_TPM	48 hours (2 days) post-blood-meal	-0.13410011379062092	0.21248791958949484
procrustes_aligned_separate_pca	Published	Fe_Ov_48hBF_2_TPM	48 hours (2 days) post-blood-meal	-0.10732517960076018	0.21584674076444452
procrustes_aligned_separate_pca	Published	Fe_Ov_48hBF_3_TPM	48 hours (2 days) post-blood-meal	-0.11943520906368706	0.20984089850547735
procrustes_aligned_separate_pca	Published	Fe_Ov_72hBF_1_TPM	72 hours (3 days) post-blood-meal	0.32891546125548476	0.15074868357482737
procrustes_aligned_separate_pca	Published	Fe_Ov_72hBF_2_TPM	72 hours (3 days) post-blood-meal	0.23601319380628438	0.029522725147977835
procrustes_aligned_separate_pca	Published	Fe_Ov_72hBF_3_TPM	72 hours (3 days) post-blood-meal	0.3306269613102755	0.1447159456074439
procrustes_aligned_separate_pca	Published	Fe_Ov_96hBF_1_TPM	96 hours (4 days) post-blood-meal	0.16777304788902428	-0.007625681146900014
procrustes_aligned_separate_pca	Published	Fe_Ov_96hBF_2_TPM	96 hours (4 days) post-blood-meal	0.18504671715365337	-0.013506680641877428
procrustes_aligned_separate_pca	Published	Fe_Ov_96hBF_3_TPM	96 hours (4 days) post-blood-meal	0.17927641696283453	-0.0017056763780923744
procrustes_aligned_separate_pca	Published	Fe_Ov_6dBF_Retained_1_TPM	6 days post-blood-meal (eggs retained)	0.11807097740420223	-0.0407492612446602
procrustes_aligned_separate_pca	Published	Fe_Ov_6dBF_Retained_2_TPM	6 days post-blood-meal (eggs retained)	0.1241100957343203	-0.05408915370467296
procrustes_aligned_separate_pca	Published	Fe_Ov_6dBF_Retained_3_TPM	6 days post-blood-meal (eggs retained)	0.11789902669118119	-0.05664513185047706
procrustes_aligned_separate_pca	Published	Fe_Ov_6dBF_Laid_1_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	0.10244424082489614	-0.05566194013149653
procrustes_aligned_separate_pca	Published	Fe_Ov_6dBF_Laid_2_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	0.11147954313554112	-0.05760387889171046
procrustes_aligned_separate_pca	Published	Fe_Ov_6dBF_Laid_3_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	0.1093692839649179	-0.06039314455562778
procrustes_aligned_separate_pca	Published	Fe_Ov_13dBF_1_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-0.036378818234488575	-0.10960012003335703
procrustes_aligned_separate_pca	Published	Fe_Ov_13dBF_2_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-0.05265365504702477	-0.10803147649129397
procrustes_aligned_separate_pca	Published	Fe_Ov_13dBF_3_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-0.03884629051981572	-0.10051495990999956
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_NBF_1_TPM	Non-blood-fed	-0.05965925850352761	-0.11787637209782288
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_NBF_2_TPM	Non-blood-fed	-0.058341535200061405	-0.10346043875329984
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_NBF_3_TPM	Non-blood-fed	-0.061724618466042	-0.09616160497559464
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_3hBF_1_TPM	3 hours post-blood-meal	-0.09464388708278439	-0.04246643690294956
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_3hBF_2_TPM	3 hours post-blood-meal	-0.09135614873593352	-0.08128995810582054
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_3hBF_3_TPM	3 hours post-blood-meal	-0.08643468034450238	-0.06310280851460424
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6hBF_1_TPM	6 hours post-blood-meal	-0.11280850761575836	-0.03748894581688234
